	Discipline	Sexe	Bassin (m)	Temps	Age	Nationalite	Lieu	Date
0	50_mètres_nage_libre	Femme	50	26:99	17	 Allemagne de l'Est	 Cali	1975-07-26
1	50_mètres_nage_libre	Femme	50	26:95	16	 Canada	 Saint John's	1977-08-16
2	50_mètres_nage_libre	Femme	50	26:74	19	 Canada	 Etobicoke	1978-08-19
3	50_mètres_nage_libre	Femme	50	26:61	16	 États-Unis	 Austin	1980-04-10
4	50_mètres_nage_libre	Femme	50	26:53	19	 États-Unis	 Austin	1980-04-10
5	50_mètres_nage_libre	Femme	50	26:32	19	 États-Unis	 Austin	1980-04-10
6	50_mètres_nage_libre	Femme	50	25:96	19	 États-Unis	 Austin	1980-04-10
7	50_mètres_nage_libre	Femme	50	25:79	20	 États-Unis	 Austin	1981-04-3
8	50_mètres_nage_libre	Femme	50	25:69	15	 États-Unis	 Amersfoort	1982-01-29
9	50_mètres_nage_libre	Femme	50	25:64	16	 Pays-Bas	 Amersfoort	1983-07-9
10	50_mètres_nage_libre	Femme	50	25:62	16	 États-Unis	 Clovis	1983-08-5
11	50_mètres_nage_libre	Femme	50	25:61	17	 États-Unis	 Mission Viejo	1984-07-21
12	50_mètres_nage_libre	Femme	50	25:50	16	 Roumanie	 Bucarest	1986-06-14
13	50_mètres_nage_libre	Femme	50	25:50	16	 Roumanie	 Bucarest	1986-06-14
14	50_mètres_nage_libre	Femme	50	25:34	16	 Roumanie	 Bucarest	1986-06-16
15	50_mètres_nage_libre	Femme	50	25:31	16	 Roumanie	 Sofia	1986-08-1
16	50_mètres_nage_libre	Femme	50	25:28	16	 Roumanie	 Madrid	1986-08-23
17	50_mètres_nage_libre	Femme	50	24:98	16	 Chine	 Guangzhou	1988-04-11
18	50_mètres_nage_libre	Femme	50	24:79	20	 Chine	 Barcelone	1992-07-31
19	50_mètres_nage_libre	Femme	50	24:51	19	 Chine	 Rome	1994-09-11
20	50_mètres_nage_libre	Femme	50	24:51	27	 Pays-Bas	 Sheffield	2000-05-27
21	50_mètres_nage_libre	Femme	50	24:48	27	 Pays-Bas	 Amsterdam	2000-06-4
22	50_mètres_nage_libre	Femme	50	24:39	27	 Pays-Bas	 Rio de Janeiro	2000-06-10
23	50_mètres_nage_libre	Femme	50	24:13	27	 Pays-Bas	 Sydney	2000-09-22
24	50_mètres_nage_libre	Femme	50	24:09	28	 Pays-Bas	 Eindhoven	2008-03-24
25	50_mètres_nage_libre	Femme	50	23:97	23	 Australie	 Sydney	2008-03-29
26	50_mètres_nage_libre	Femme	50	23:96	30	 Pays-Bas	 Amsterdam	2009-04-19
27	50_mètres_nage_libre	Femme	50	23:73	25	 Allemagne	 Rome	2009-08-2
28	50_mètres_nage_libre	Femme	50	23:67	23	 Suède	 Budapest	2017-07-29
29	50_mètres_nage_libre	Femme	25	23:59	24	 Australie	 Brisbane	2016-07-1
30	50_mètres_nage_libre	Femme	25	23:37	24	 Australie	 Brisbane	2016-07-2
31	100_mètres_nage_libre	Femme	50	1:35:0		 Empire allemand	 Magdebourg	1908-10-18
32	100_mètres_nage_libre	Femme	50	1:26:6	22	 Belgique	 Schaerbeek	1910-10-2
33	100_mètres_nage_libre	Femme	50	1:24:6		 Royaume-Uni	 Liverpool	1911-07-29
34	100_mètres_nage_libre	Femme	50	1:20:6		 Royaume-Uni	 Birkenhead	1912-06-10
35	100_mètres_nage_libre	Femme	50	1:19:8	23	 Australie	 Stockholm	1912-07-9
36	100_mètres_nage_libre	Femme	50	1:18:8	23	 Australie	 Hambourg	1912-07-21
37	100_mètres_nage_libre	Femme	50	1:16:2	26	 Australie	 Sydney	1915-02-6
38	100_mètres_nage_libre	Femme	50	1:13:6	18	 États-Unis	 Anvers	1920-08-25
39	100_mètres_nage_libre	Femme	50	1:12:8	17	 États-Unis	 Newark	1923-06-30
40	100_mètres_nage_libre	Femme	50	1:12:2		 États-Unis	 Paris	1924-07-19
41	100_mètres_nage_libre	Femme	50	1:10:0		 États-Unis	 Toledo	1926-01-28
42	100_mètres_nage_libre	Femme	50	1:09:8	20	 États-Unis	 Honolulu	1929-08-7
43	100_mètres_nage_libre	Femme	50	1:09:4		 États-Unis	 San Francisco	1929-08-25
44	100_mètres_nage_libre	Femme	50	1:08:0	17	 États-Unis	 Miami Beach	1930-03-14
45	100_mètres_nage_libre	Femme	50	1:06:6	18	 États-Unis	 Boston	1931-04-20
46	100_mètres_nage_libre	Femme	50	1:06:0	15	 Pays-Bas	 Anvers	1933-07-9
47	100_mètres_nage_libre	Femme	50	1:05:4	17	 Pays-Bas	 Amsterdam	1934-02-24
48	100_mètres_nage_libre	Femme	50	1:04:8	17	 Pays-Bas	 Rotterdam	1934-04-15
