	Discipline	Sexe	Bassin (m)	Temps	Age	Nationalite	Lieu	Date
0	50_mètres_nage_libre	Homme	50	23.86		 Afrique du Sud	 Philadelphie	1976-08-14
1	50_mètres_nage_libre	Homme	50	23.74		 États-Unis	 Etobicoke	1977-07-03
2	50_mètres_nage_libre	Homme	50	23.72		 États-Unis	 Miami	1978-07-29
3	50_mètres_nage_libre	Homme	50	23.7	27	 Allemagne de l'Ouest	 Fribourg-en-Brisgau	1979-07-23
4	50_mètres_nage_libre	Homme	50	23.66		 États-Unis	 Amersfoot	1980-02-02
5	50_mètres_nage_libre	Homme	50	22.83		 États-Unis	 Austin	1980-04-10
6	50_mètres_nage_libre	Homme	50	22.83		 États-Unis	 Honolulu	1980-08-15
7	50_mètres_nage_libre	Homme	50	22.71		 États-Unis	 Honolulu	1980-08-15
8	50_mètres_nage_libre	Homme	50	22.54		 États-Unis	 Brown Deer	1981-08-15
9	50_mètres_nage_libre	Homme	50	22.52	22	 Suisse	 Bellinzone	1985-07-21
10	50_mètres_nage_libre	Homme	50	22.4	21	 États-Unis	 Austin	1985-12-06
11	50_mètres_nage_libre	Homme	50	22.33	21	 États-Unis	 Orlando	1986-06-26
12	50_mètres_nage_libre	Homme	50	22.33	22	 États-Unis	 Clovis	1987-07-30
13	50_mètres_nage_libre	Homme	50	22.32	23	 États-Unis	 Brisbane	1987-08-13
14	50_mètres_nage_libre	Homme	50	22.23	24	 États-Unis	 Orlando	1988-03-25
15	50_mètres_nage_libre	Homme	50	22.18		 Afrique du Sud	 Indianapolis	1988-04-10
16	50_mètres_nage_libre	Homme	50	22.14	23	 États-Unis	 Séoul	1988-09-24
17	50_mètres_nage_libre	Homme	50	22.12	25	 États-Unis	 Tokyo	1989-08-20
18	50_mètres_nage_libre	Homme	50	21.98	26	 États-Unis	 Nashville	1990-03-24
19	50_mètres_nage_libre	Homme	50	21.81	26	 États-Unis	 Nashville	1990-03-24
20	50_mètres_nage_libre	Homme	50	21.64	29	 Russie	 Moscou	2000-06-16
21	50_mètres_nage_libre	Homme	50	21.56	22	 Australie	 Sydney	2008-02-17
22	50_mètres_nage_libre	Homme	50	21.5	24	 France	 Eindhoven	2008-03-23
23	50_mètres_nage_libre	Homme	50	21.41	22	 Australie	 Sydney	2008-03-27
24	50_mètres_nage_libre	Homme	50	21.28	22	 Australie	 Sydney	2008-03-28
25	50_mètres_nage_libre	Homme	50	20.94	28	 France	 Montpellier	2009-04-26
26	50_mètres_nage_libre	Homme	50	20.91	22	 Brésil	 São Paulo	2009-12-18
27	50_mètres_nage_libre	Homme	25	21.64	29	 États-Unis	 Dallas	1992-03-24
28	50_mètres_nage_libre	Homme	25	21.6	23	 Royaume-Uni	 Sheffield	1993-02-17
29	50_mètres_nage_libre	Homme	25	21.5	23	 Russie	 Desenzano del Garda	1994-03-13
30	50_mètres_nage_libre	Homme	25	21.48	28	 Royaume-Uni	 Sheffield	1998-12-13
31	50_mètres_nage_libre	Homme	25	21.31	28	 Royaume-Uni	 Sheffield	1998-12-13
32	50_mètres_nage_libre	Homme	25	21.31	20	 Afrique du Sud	 Minneapolis	2000-03-23
33	50_mètres_nage_libre	Homme	25	21.28	20	 Afrique du Sud	 Minneapolis	2000-03-23
34	50_mètres_nage_libre	Homme	25	21.21	20	 États-Unis	 Minneapolis	2000-03-23
35	50_mètres_nage_libre	Homme	25	21.13	31	 Royaume-Uni	 Paris	2001-01-28
36	50_mètres_nage_libre	Homme	25	21.1	23	 France	 Long Island	2004-03-25
37	50_mètres_nage_libre	Homme	25	20.98	26	 Afrique du Sud	 Hambourg	2006-08-13
38	50_mètres_nage_libre	Homme	25	20.93	26	 Suède	 Berlin	2007-11-18
39	50_mètres_nage_libre	Homme	25	20.81	25	 Croatie	 Manchester	2008-04-11
40	50_mètres_nage_libre	Homme	25	20.64	28	 Afrique du Sud	 Johannesburg	2008-09-06
41	50_mètres_nage_libre	Homme	25	20.48	23	 France	 Rijeka	2008-12-11
42	50_mètres_nage_libre	Homme	25	20.3	29	 Afrique du Sud	 Pietermaritzburg	2009-08-08
43	50_mètres_nage_libre	Homme	25	20.26	24	 France	 Doha	2014-12-05
44	50_mètres_nage_libre	Homme	25	20.24	23	 États-Unis	 Las Vegas	2019-12-20
45	50_mètres_nage_libre	Homme	25	20.16		 États-Unis	 Budapest	2020-11-21
46	100_mètres_nage_libre	Homme	50	65.8	24	 Autriche-Hongrie	 Vienne	1905-12-03
47	100_mètres_nage_libre	Homme	50	65.6	23	 États-Unis	 Londres	1908-07-20
48	100_mètres_nage_libre	Homme	50	62.8	25	 États-Unis	 New York	1910-04-15
49	100_mètres_nage_libre	Homme	50	62.4	20	 Empire allemand	 Bruxelles	1912-04-06
50	100_mètres_nage_libre	Homme	50	62.6	22	 États-Unis	 Suède Stockholm	1912-07-06
51	100_mètres_nage_libre	Homme	50	61.6	22	 États-Unis	 Hambourg	1912-07-20
52	100_mètres_nage_libre	Homme	50	61.4	28	 États-Unis	 New York	1918-08-09
53	100_mètres_nage_libre	Homme	50	60.4	30	 États-Unis	 Anvers	1920-08-24
54	100_mètres_nage_libre	Homme	50	58.6	18	 États-Unis	 Alameda	1922-07-19
55	100_mètres_nage_libre	Homme	50	57.4	20	 États-Unis	 Miami	1924-02-17
56	100_mètres_nage_libre	Homme	50	56.8	21	 États-Unis	 New Haven	1934-03-02
57	100_mètres_nage_libre	Homme	50	56.6	22	 États-Unis	 New Haven	1935-03-05
58	100_mètres_nage_libre	Homme	50	56.4	23	 États-Unis	 New Haven	1936-02-11
59	100_mètres_nage_libre	Homme	50	55.9	21	 États-Unis	 New Haven	1944-04-13
60	100_mètres_nage_libre	Homme	50	55.8	18	 France	 Menton	1947-09-15
61	100_mètres_nage_libre	Homme	50	55.4	25	 États-Unis	 New Haven	1948-06-29
62	100_mètres_nage_libre	Homme	50	54.8	25	 États-Unis	 New Haven	1954-04-01
63	100_mètres_nage_libre	Homme	50	55.4	21	 Australie	 Melbourne	1956-11-30
64	100_mètres_nage_libre	Homme	50	55.2	20	 Australie	 Sydney	1957-01-19
